policy_id,exposure,driver_age,years_licensed,vehicle_age,vehicle_type,engine_power_kw,annual_mileage_km,region,urban_density,garage,bonus_malus,prior_claims_3y,commercial_use,telematics_opt_in,sum_insured,policy_year,num_claims,total_claim_amount,avg_claim_amount
P0000001,1.0,34,16,10,sedan,93,13495,NW,urban,False,1.0229319648523083,0,False,False,38102.869468039506,2025,0,0.0,0.0
P0000002,1.0,50,31,8,hatchback,100,18575,NW,urban,False,0.9392648237659575,0,True,False,24193.19553396613,2025,0,0.0,0.0
P0000003,1.0,45,29,7,sedan,144,37331,NW,urban,False,0.8813264321866051,0,False,False,45956.98629001777,2023,0,0.0,0.0
P0000004,1.0,37,19,5,sedan,137,21980,NW,urban,True,0.6265093092778259,0,False,False,44152.97919808911,2025,0,0.0,0.0
P0000005,1.0,48,32,5,sedan,96,10008,NW,urban,False,0.9257405958309909,0,False,True,33456.31119411338,2023,1,152.37,152.37
P0000006,0.5,50,32,11,sedan,134,9335,NW,urban,False,0.8858974411338405,0,False,False,24677.26050699518,2023,0,0.0,0.0
P0000007,1.0,33,17,8,sedan,115,8711,NW,urban,False,0.8557536895065768,0,False,True,33096.07998833824,2025,0,0.0,0.0
P0000008,1.0,34,18,2,SUV,116,8101,NW,urban,True,0.9041281671891466,0,False,True,58114.53326793234,2023,0,0.0,0.0
P0000009,1.0,45,28,3,SUV,118,8466,NW,urban,True,0.9480193544326335,0,True,False,50264.25624779511,2024,0,0.0,0.0
P0000010,1.0,31,14,6,SUV,113,21334,NW,urban,True,1.0744567834616925,0,False,False,43168.717316604205,2024,0,0.0,0.0
P0000011,1.0,32,16,7,hatchback,82,27100,NW,urban,True,0.8978692862234018,0,False,False,52731.046065193164,2025,0,0.0,0.0
P0000012,1.0,20,2,7,sedan,115,8731,NW,urban,True,0.9176086319194374,0,False,False,21198.893918644764,2023,0,0.0,0.0
P0000013,1.0,49,32,7,van,97,12538,NW,urban,False,1.1024674948675575,0,False,False,31531.362800201965,2024,0,0.0,0.0
P0000014,1.0,46,27,6,SUV,121,19908,NW,urban,False,1.2807501346167909,0,False,False,40557.25332667118,2024,0,0.0,0.0
P0000015,1.0,44,26,8,hatchback,58,28568,NW,urban,True,1.336725815035471,0,False,False,33101.01061748648,2025,0,0.0,0.0
P0000016,1.0,50,31,9,hatchback,87,8838,NW,urban,False,1.1478011376815291,0,False,False,20125.735047879018,2023,0,0.0,0.0
P0000017,1.0,42,26,3,SUV,154,13203,NW,urban,True,1.081198255203223,0,False,False,34080.201299284236,2024,0,0.0,0.0
P0000018,1.0,40,23,9,sedan,111,11097,NW,urban,True,1.302045832295783,0,False,True,51421.253378387744,2023,0,0.0,0.0
P0000019,1.0,30,11,8,sedan,92,31465,NW,urban,False,1.1061347266330417,0,False,False,32031.72685826039,2024,0,0.0,0.0
P0000020,1.0,23,7,10,hatchback,70,9413,NW,urban,True,0.7294357133096036,0,False,False,51445.36690806238,2023,0,0.0,0.0
P0000021,0.5,43,27,8,sedan,123,12698,NW,urban,True,0.9545811657238142,0,False,False,28843.04363337175,2025,0,0.0,0.0
P0000022,1.0,42,24,10,hatchback,64,20825,NW,urban,True,1.0596289621901622,0,False,False,28989.470413467938,2023,0,0.0,0.0
P0000023,0.75,38,22,6,hatchback,91,18459,NW,urban,False,0.6288679175018492,0,False,False,33733.09645836222,2023,0,0.0,0.0
P0000024,1.0,44,25,8,sedan,104,9460,NW,urban,False,1.0006959062546368,0,False,True,58870.39092078467,2025,0,0.0,0.0
P0000025,1.0,45,26,8,van,91,7950,NW,urban,True,0.9755725000756993,0,False,False,26892.432366276636,2025,0,0.0,0.0
P0000026,1.0,39,20,3,van,117,6308,NW,urban,True,1.0128247980650675,0,False,False,52311.85811054625,2025,0,0.0,0.0
P0000027,1.0,38,19,10,hatchback,81,8028,NW,urban,False,0.9589086755537115,0,False,False,13778.823137660835,2023,0,0.0,0.0
P0000028,1.0,33,14,9,hatchback,65,16928,NW,urban,False,1.0248631725110957,0,True,False,55772.99010779404,2025,0,0.0,0.0
P0000029,1.0,20,1,4,hatchback,52,11391,NW,urban,False,1.2265657628673028,0,False,False,58929.30731050803,2024,1,1275.81,1275.81
P0000030,1.0,35,18,2,van,56,19995,NW,urban,True,0.8325042702253304,0,False,False,41493.891736411635,2023,0,0.0,0.0
P0000031,1.0,31,15,5,hatchback,82,9998,NW,urban,True,1.2213450040870037,0,True,False,39594.597184812046,2025,0,0.0,0.0
P0000032,1.0,34,15,0,sports,188,18224,NW,urban,True,0.8804885436717829,0,False,False,45126.87420451281,2023,0,0.0,0.0
P0000033,1.0,52,35,7,SUV,172,9579,NW,urban,False,0.9866145388523666,0,False,True,52155.71335714781,2024,0,0.0,0.0
P0000034,1.0,29,13,2,SUV,148,10070,NW,urban,True,1.1770746524541107,0,False,False,16139.036501769515,2024,0,0.0,0.0
P0000035,1.0,24,7,6,hatchback,90,13861,NW,urban,True,1.160600712993287,0,False,True,65590.00852709818,2023,0,0.0,0.0
P0000036,1.0,37,21,8,SUV,129,17146,NW,urban,True,0.9643351357230892,0,False,True,55911.139203345854,2025,0,0.0,0.0
P0000037,1.0,37,19,8,hatchback,66,17315,NW,urban,True,1.0156218975348743,0,False,False,26476.21572919862,2024,0,0.0,0.0
P0000038,1.0,44,26,4,SUV,155,17542,NW,urban,True,1.0673483710639502,0,False,False,38357.96295231654,2024,0,0.0,0.0
P0000039,1.0,39,23,4,SUV,133,17072,NW,urban,True,0.9803269352536,0,True,False,41933.955965502195,2024,0,0.0,0.0
P0000040,1.0,52,36,4,van,77,3744,NW,urban,True,0.9783889296719829,0,False,False,46270.20142886213,2025,0,0.0,0.0
P0000041,1.0,43,24,4,SUV,167,3998,NW,urban,True,0.791068221851463,1,False,False,37547.948412515485,2025,0,0.0,0.0
P0000042,1.0,34,17,5,sports,184,18535,NW,urban,True,1.0866572391924219,0,False,True,28930.11431632097,2024,0,0.0,0.0
P0000043,1.0,50,34,8,sedan,92,4840,NW,urban,False,1.0503716071379874,0,False,True,70478.2037303105,2024,0,0.0,0.0
P0000044,1.0,32,16,7,sedan,150,20234,NW,urban,True,1.0843722716937698,0,False,False,47759.017253690094,2025,0,0.0,0.0
P0000045,0.75,20,3,6,hatchback,67,14752,NW,urban,True,0.9600105330921225,0,False,False,35669.261607470595,2023,0,0.0,0.0
P0000046,0.75,25,9,8,hatchback,71,13542,NW,urban,True,1.1111153121407604,0,False,False,59069.03827200295,2023,0,0.0,0.0
P0000047,0.5,47,31,8,hatchback,106,12649,NW,urban,True,1.1665068368560996,0,True,True,45400.964852090045,2025,0,0.0,0.0
P0000048,1.0,38,22,4,hatchback,120,9161,NW,urban,True,0.7900765423773884,0,False,True,42923.30862709034,2025,0,0.0,0.0
P0000049,1.0,31,13,5,hatchback,82,15431,NW,urban,False,1.0309636145202898,0,False,False,34819.52834666655,2024,0,0.0,0.0
P0000050,1.0,38,20,3,hatchback,113,8107,NW,urban,True,1.1318720244941376,0,False,False,40579.60775819556,2023,0,0.0,0.0
P0000051,1.0,31,12,7,hatchback,77,13022,NW,urban,False,1.0705277250521743,0,False,False,40608.76067749591,2023,0,0.0,0.0
P0000052,1.0,45,28,3,SUV,122,5209,NW,urban,False,0.8561157841421768,0,False,False,37345.58626719202,2024,0,0.0,0.0
P0000053,1.0,34,18,4,sedan,89,31002,NW,urban,True,0.9267990818135489,0,False,False,30868.987412007566,2024,0,0.0,0.0
P0000054,1.0,35,17,1,sports,218,14988,NW,urban,False,0.9382534085574908,0,True,True,34711.24406172433,2025,0,0.0,0.0
P0000055,1.0,37,18,10,sedan,121,17346,NW,urban,True,1.1062862203328712,0,False,True,57330.00086256318,2024,0,0.0,0.0
P0000056,1.0,45,27,5,hatchback,86,7932,NW,urban,False,1.1296382072169064,0,True,False,27243.424595268705,2023,0,0.0,0.0
P0000057,1.0,33,17,6,van,80,17227,NW,urban,True,1.0137811493694389,0,False,False,55128.65145331339,2024,0,0.0,0.0
P0000058,1.0,23,7,2,van,87,18342,NW,urban,True,1.0714145559348616,0,False,True,25980.638401132117,2025,0,0.0,0.0
P0000059,1.0,26,10,8,sedan,118,16563,NW,urban,False,0.9593744584926931,0,False,False,21898.82736601819,2024,0,0.0,0.0
P0000060,1.0,72,53,7,hatchback,60,19604,NW,urban,False,0.9918711035059352,0,False,False,40766.63666650459,2023,0,0.0,0.0
P0000061,1.0,55,38,7,van,70,4386,NW,urban,False,1.0728726969667515,0,False,False,5000.0,2025,0,0.0,0.0
P0000062,0.5,44,28,0,sports,181,25169,NW,urban,True,0.8248605705306452,0,False,False,32009.266986007002,2024,0,0.0,0.0
P0000063,1.0,31,14,7,sports,191,12614,NW,urban,False,1.0452625854485482,0,False,False,45275.77503651497,2024,0,0.0,0.0
P0000064,1.0,64,45,10,sedan,105,13357,NW,urban,True,1.1135798639519485,0,False,False,29349.38240459912,2023,0,0.0,0.0
P0000065,1.0,48,31,4,hatchback,112,17590,NW,urban,True,0.8299538444649397,0,False,False,57733.4303805165,2023,0,0.0,0.0
P0000066,1.0,45,26,6,sedan,143,15817,NW,urban,True,0.9238661931908315,0,False,True,46212.73525068906,2025,0,0.0,0.0
P0000067,1.0,35,17,8,sedan,116,10991,NW,urban,False,0.691990304696004,0,False,False,37637.052372310995,2023,0,0.0,0.0
P0000068,1.0,32,13,4,hatchback,60,38796,NW,urban,True,1.301197875379842,0,False,True,28353.451780973195,2025,0,0.0,0.0
P0000069,1.0,25,9,10,hatchback,88,11199,NW,urban,True,1.3771906201108453,0,False,False,38442.06489919707,2023,0,0.0,0.0
P0000070,1.0,54,36,4,sports,181,13303,NW,urban,True,1.142921840044624,0,False,False,18049.4941451746,2025,0,0.0,0.0
P0000071,1.0,42,25,5,hatchback,50,8648,NW,urban,True,0.960858164314929,1,False,False,43007.88061129363,2025,1,1237.34,1237.34
P0000072,1.0,29,10,7,hatchback,115,37284,NW,urban,True,1.0732667087963597,0,False,False,37163.42923149705,2024,0,0.0,0.0
P0000073,1.0,37,21,6,sedan,86,17020,NW,urban,True,0.8229784341946187,0,False,False,20751.978881867104,2024,0,0.0,0.0
P0000074,1.0,39,23,7,sports,230,10246,NW,urban,True,0.8593177026989918,0,False,True,44222.71897702348,2023,0,0.0,0.0
P0000075,1.0,32,16,4,sports,189,11861,NW,urban,False,1.1633646480546436,0,False,False,37665.01770050771,2023,0,0.0,0.0
P0000076,1.0,52,33,7,hatchback,106,18763,NW,urban,False,0.9481499109086763,0,True,True,45750.39210572798,2025,0,0.0,0.0
P0000077,1.0,47,28,2,SUV,170,8427,NW,urban,False,1.1838764995977276,0,False,False,28024.72555227018,2024,0,0.0,0.0
P0000078,1.0,43,27,3,sports,208,26417,NW,urban,True,0.9173392367960234,0,False,False,41111.672919642406,2025,0,0.0,0.0
P0000079,1.0,37,20,7,SUV,146,7699,NW,urban,True,1.047131121358992,0,False,True,56283.85662010779,2023,0,0.0,0.0
P0000080,0.5,41,23,6,hatchback,83,14225,NW,urban,True,1.011826708259381,0,False,True,64634.5709578843,2025,0,0.0,0.0
